id	title	name	publication_date	body	new_title
1101981	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Julian Castro	2019-09-12	Good evening. (UNTRANSLATED) Welcome to Texas. It's great to be here at TSU, home of the Tigers. You know on January 20, 2021 at 12:01 PM we are going to have a Democratic president, a Democratic House and a Democratic Senate.	Democratic Presidential Debate - September 12 | ABC
1101982	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Julian Castro	2019-09-12	There will be life after Donald Trump but the truth is that our problems didn't start just with Donald Trump and we won't solve them by embracing old ideas. We need a bold vision, universal pre-K and universal healthcare; unleashing millions of new jobs in the clean energy economy; a tax system that rewards people who have to work for a living.	Democratic Presidential Debate - September 12 | ABC
1101983	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Julian Castro	2019-09-12	But first we have to win and that means exciting a young, diverse coalition of Americans who are ready for a bold future. That is what Kennedy did, it is like Carter did, it is what Clinton did, it is what Barack Obama did and it is what I can do in this race, get back Michigan, Wisconsin and Pennsylvania, Florida, Georgia and Arizona and finally turn Texas blue and say goodbye to Donald Trump.	Democratic Presidential Debate - September 12 | ABC
1101984	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Amy Klobuchar	2019-09-12	Good evening Texas Southern. I believe that what unites us up here the 10 of us is much stronger than what divides us and I think that's true of our country, too.	Democratic Presidential Debate - September 12 | ABC
1101985	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Amy Klobuchar	2019-09-12	Now I may not be the loudest person up here but I think we've already got that in the White House. Houston--	Democratic Presidential Debate - September 12 | ABC
1101986	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Amy Klobuchar	2019-09-12	--we have a problem. This-- we have a guy there that is literally running our country like a game show.	Democratic Presidential Debate - September 12 | ABC
1101987	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Joe Biden	2019-09-12	I refuse to postpone any longer taking on climate change. And leading the world in taking on climate change. Look, this is the United States of America. There has never been a single, solitary time that we set our minds on something we are unable to do it. We are walking with our heads down like whoa is me. We are the best equipped nation in the world to take this on. It's no longer time to postpone--we should get moving. There's enormous, enormous opportunities once we get rid of Donald Trump.	Democratic Presidential Debate - September 12 | ABC
1101988	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Joe Biden	2019-09-12	That will be for the voters to decide that question. Let me tell you what I think--I think we should have a debate on healthcare. I think I know that the Senator says she's for Bernie. Well, I'm for Barack. I think the Obamacare worked. I think the way we add to it, replace everything that's been cut, add a public option--guarantee that everyone will be able to have affordable insurance, number one.	Democratic Presidential Debate - September 12 | ABC
1101989	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Joe Biden	2019-09-12	Number two, I think we should be in a position of taking a look at what costs are. My plan for healthcare costs a lot of money--it costs $740 billion. It doesn't cost $30 trillion. $3.4 trillion a year it turns out is twice what the entire federal budget is. That's before it exists now without interest on the debt. How are we going to pay for it? I want to hear tonight how that's happening. Such far, my distinguished friends the Senator on my left is not--has not indicated how she pays for it and the Senator has, in fact, come forward and said how he's going to pay for it but it gets him about halfway there.	Democratic Presidential Debate - September 12 | ABC
1101990	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Joe Biden	2019-09-12	There's a lot of other things that need to be done. I drive a bold plan to deal with making sure we triple the money for at risk schools that are Title 1 schools from 40 from 15 to $40 billion a year. But I go down the line and each of the things we are talking about I lay out how I can pay for it, how I can get it done and why it's better.	Democratic Presidential Debate - September 12 | ABC
1101991	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Elizabeth Warren	2019-09-12	So, let's be clear about healthcare and let's actually start where Vice President did--we all owe huge debt to President Obama who fundamentally transformed healthcare in America and committed this country to healthcare for every human being.	Democratic Presidential Debate - September 12 | ABC
1101992	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Elizabeth Warren	2019-09-12	And now, the question is how best can we improve on it? And I believe the best way we can do that is we make sure that everybody gets covered by healthcare at the lowest possible cost. How do we pay for it? We pay for it those at the very top--the richest individuals and the biggest corporations are going to pay more. And middle class families are going to pay less. That's how this is going to work.	Democratic Presidential Debate - September 12 | ABC
1101993	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Elizabeth Warren	2019-09-12	Look, what families have to deal with is cost. Total cost. That's what they have to deal with and understand, families are paying for their healthcare today. Families pay every time an insurance company says, sorry you can't see that specialist. Every time an insurance company say sorry, that doctor is out of network. Sorry, we are not covering that prescription. Families are paying every time they don't get a prescription filled because they can't pay for it. They don't have a lump checked out because they can't afford the copay. What we're talking about here is what is going to happen in families' pockets--what's going to happen in their budgets. And the answer is on Medicare for all--costs are going to go up for wealthier individuals and costs are going to go up for giant corporations.	Democratic Presidential Debate - September 12 | ABC
1101994	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Elizabeth Warren	2019-09-12	But for hardworking families across this country costs are going to go down and--and that's how it should work under Medicare for all in our healthcare (INAUDIBLE).	Democratic Presidential Debate - September 12 | ABC
1101995	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Bernie Sanders	2019-09-12	Joe said that Medicare for All would cost over $30 trillion. That's right, Joe. Status quo over 10 years will be $50 trillion. Every study done shows that Medicare for All is the most cost-effective approach to providing healthcare to every man, woman and child in this country. I wrote the damn bill if I may say so--	Democratic Presidential Debate - September 12 | ABC
1101996	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Bernie Sanders	2019-09-12	--intent to eliminate all out of pocket expenses all deductibles, all copayments, nobody in America will pay more than $200 a year for prescription drugs because we are going to stand up to the greed and corruption and price-fixing of the pharmaceutical industry.	Democratic Presidential Debate - September 12 | ABC
1101997	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Bernie Sanders	2019-09-12	We need--we need a healthcare system that guarantees health care to all people as every other major country does, not a system which provides $100 billion a year in profit for the drug companies and the insurance companies and to tell you how absurd the system is 10 nine on ABC the healthcare industry will be advertising telling you how bed Medicare for All is because they want to protect their profits. That is absurd.	Democratic Presidential Debate - September 12 | ABC
1101998	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Amy Klobuchar	2019-09-12	If I could respond? George?	Democratic Presidential Debate - September 12 | ABC
1101999	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Joe Biden	2019-09-12	Okay. Number one, my health care plan does significantly cut the cost of the largest out of pocket payment you will pay is $1000. You will be get into a--anyone that can't afford it gets automatically enrolled in a--in--in the Medicare type option we have, etc. But guess what of the 160 million people who like their healthcare now they can keep it. If they don't like it they can leave, number one.	Democratic Presidential Debate - September 12 | ABC
1102000	ABC HOSTS 2019 DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATES IN HOUSTON	Joe Biden	2019-09-12	Number two, the fact of the matter is we are in a situation where if you notice he hasn't answered the question. This is about candor, honesty, big ideas.	Democratic Presidential Debate - September 12 | ABC
