id	title	name	publication_date	body	new_title
737294	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	John Hickenlooper	2019-07-30	Last year, Democrats flipped 40 Republican seats in the House, and not one of those 40 Democrats support the policies of our front runners at center stage. Now, I share their progressive values, but I'm a little more pragmatic. I was out of work for two whole years until I started what became the largest brewpub in America. And I learned the small best--the small business lessons of how to provide service and teamwork and became a top mayor, and as governor of Colorado, created the number one economy in the country.	Democratic Presidential Debate - July 30 | CNN
737295	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	John Hickenlooper	2019-07-30	We also expanded healthcare and reproductive rights. We attacked climate change head on. We beat the NRA. We did not build massive government expansions. Now, some will promise a bill tonight or a plan for tonight, but we focused on was making sure that we got people together to get things done, to--to provide solutions to problems, to make sure that we--that we worked together and created jobs. That's how we're going to be Donald Trump, that's how we are going to win Michigan in the country.	Democratic Presidential Debate - July 30 | CNN
737296	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Amy Klobuchar	2019-07-30	Let's get real. Tonight, we debate, but ultimately, we have to beat Donald Trump. My background, it's a little bit different than his. I stand before you today as a granddaughter of an iron ore miner, as a daughter of a union teacher and a newspaperman, as the first woman elected to the U.S. Senate from the state of Minnesota and a candidate for president of the United States. That's because we come from a country of shared dreams and I have had it with the racist attacks. I have had it with the president says one thing on TV that has your back and then you get home and you see those charges for prescription drugs and cable and college.	Democratic Presidential Debate - July 30 | CNN
737297	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Amy Klobuchar	2019-07-30	You're going to hear a lot of promises up here, but I'm going to tell you this. Yes, I have bold ideas, but they are grounded in reality. And yes, I will make some simple promises. I can win this. I'm from the Midwest and I have won every race, every place, every time, and I will govern with integrity, the integrity worthy of the extraordinary people of this nation.	Democratic Presidential Debate - July 30 | CNN
737298	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	I'm running for president because I believe that America discovers its greatness and its moments of greatest need. This moment will define us forever and I believe that in this test, America will be redeemed. In the face of cruelty and fear from a lawless president, we will choose to be the nation that stands up for the human rights of everyone, for the rule of law for everyone, and democracy that serves everyone. Whatever our differences, we know that before we are anything else, we are Americans first and we will ensure that each one of us is well enough and educated enough and paid enough to realize our full potential.	Democratic Presidential Debate - July 30 | CNN
737299	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	We will meet these challenges here at home and we will lead the world in those that we face abroad, successfully confronting endless war and climate change. At this moment of truth, let us pursue our national promise and make a more perfect union of everyone, by everyone, and for everyone.	Democratic Presidential Debate - July 30 | CNN
737300	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	I'm running for president because our country is running out of time. It is even bigger than the emergency of the Trump presidency. Ask yourself how somebody like Donald Trump ever gets within cheating distance of the oval office in the first place. It doesn't happen unless America is already in a crisis, an economy that not working for everyone, endless war, climate change. We have lived this. In my industrial Midwestern hometown, my generation has lived this as long as we have been alive, and it's only accelerating.	Democratic Presidential Debate - July 30 | CNN
737301	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	Science tells us we have 12 years before we reach the horizon of catastrophe when it comes to our climate. By 2030, the average house in this country will cost $.5 million and a woman's right to choose may not even exist. We are not going to be able to meet this moment by recycling the same arguments number policies, and politicians that have dominated Washington for as long as I have been alive. We've got to summon the courage to walk away from the past and do something different. This is our shot.	Democratic Presidential Debate - July 30 | CNN
737302	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	That is why I am running for president.	Democratic Presidential Debate - July 30 | CNN
737303	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	Donald Trump disgraces the office of presidents every single day and anyone on this stage tonight or tomorrow night would be a far better president. I promise no matter who our candidate is I will work my heart out to beat Donald Trump and to elect a Democratic Congress.	Democratic Presidential Debate - July 30 | CNN
