id	title	name	publication_date	body	new_title
470068	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	To the working people of America tonight I bring you a message of hope. We can make change in this country, I know from personal experience it can be done. When I became the mayor of the nation's largest city, I set us on a path of bold change. They said it couldn't be done, but we gave pre-K to every child for free. We got rid of stop and frisk, and we lowered crime. We raised the minimum wage to $15 an hour. Yes, it can be done.	Democratic Presidential Debate - July 31 | CNN
470069	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	Now tonight we have to get to the heart and soul of who we are as Democrats. There are good people on this stage, but there are real differences.	Democratic Presidential Debate - July 31 | CNN
470070	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	Joe Biden told wealthy donors that nothing fundamentally would change if he were president. Kamala Harris said she's not trying to restructure society. Well, I am. For 40 years working people have taken it on the chin in this country. For 40 years the rich have gotten richer, and they have paid less and less in taxes. It cannot go on this way.	Democratic Presidential Debate - July 31 | CNN
470071	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	When I am president we will even up the score, and we will tax the hell out of the wealthy to make this a fairer country and to make sure it's a country that puts working people first.	Democratic Presidential Debate - July 31 | CNN
470072	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-07-31	I love our country. It's why I enlisted after 9/11. I have served as a soldier for over 16 years, deployed twice to the Middle East, and serve in Congress now for almost 7 years. I know what patriotism is and I've known many great patriots throughout my life. And let me tell you this, Donald Trump is not behaving like a patriot. As president, I will bring the spirit of real patriotism to the White House, serving the interests of all Americans, not just the rich and powerful. I'll fight for our rights and freedoms of all Americans, upholding these principles in our Constitution upon which our country was founded. Fighting for justice and equality for all, fighting for every single American, regardless of race or religion as we strive towards that a more perfect union. As president, I will bring this unifying spirit of love for country and the soldiers' values of service above self to the White House, truly leading a government of, by, and for the people.	Democratic Presidential Debate - July 31 | CNN
470073	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-07-31	Thank you, Dana, and good evening. You know, just a few days ago, we were reminded and inspired by our fellow Americans in Puerto Rico that public service is not fundamentally about any of us, it's about you and your family. I want you to know that if I am elected president, that I will work hard every single day so that you and your family can have good healthcare when you need it so that your children and grandchildren can get a good education so that they can reach their dreams, and that you could have good job opportunities whether you live here in a big city like Detroit or in a small town in our country.	Democratic Presidential Debate - July 31 | CNN
470074	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-07-31	I know we have a wonderful special nation, but that too many people are struggling. And I know what that's like too. You know, I grew up with a single mom in a poor neighborhood. But like many of you, I don't want to make America anything again. I don't want us to go backward. We're not going back to the past. We're not going back where we came from, were going to move forward. We're going to make America better than it's ever been in the years to come. Let's do that together.	Democratic Presidential Debate - July 31 | CNN
470075	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Andrew Yang	2019-07-31	If you've heard anything about me in my campaign, you've heard that someone is running for president who wants to give every American $1,000 a month. I know this may sound like a gimmick, but this is a deeply American idea from Thomas Paine to Martin Luther King to today. Let me tell you why we need to do it and how we pay for it. Why do we need to do it? We already automated away millions of manufacturing jobs and chances are your job could be next. If you don't believe me, just ask an auto worker here in Detroit.	Democratic Presidential Debate - July 31 | CNN
470076	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Andrew Yang	2019-07-31	How do we pay for it? Raise your hand in the crowd if you've seen stores closing where you live. It is not just you. Amazon is closing 30 percent of America's stores and malls and paying zero in taxes while doing. We need to do the opposite of much of what we are doing right now, and the opposite of Donald Trump is an Asian man who likes math.	Democratic Presidential Debate - July 31 | CNN
470077	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Andrew Yang	2019-07-31	So let me share the math. $1000 a month for every adult would be $461 million every month right here in Detroit alone. The automation of our jobs is a central challenge facing us today. It is why Donald Trump is our president and any politician not addressing it is failing the American people.	Democratic Presidential Debate - July 31 | CNN
